Field,Non-Minority,Minority,Undisclosed,Non-Resident,Total,% Minority,% Non-Resident
MORNINGSIDE ARTS & SCIENCES,341,72,3,8,424,17%,2%
Arts,11,0,0,1,12,0%,8%
Continuing Education,0,0,0,0,0,-,-
Humanities,113,26,1,3,143,19%,2%
Natural Sciences,126,20,1,1,148,14%,1%
Social Sciences,91,26,1,3,121,22%,2%
MORNINGSIDE GRADUATE & PROFESSIONAL SCHOOLS,255,73,4,4,336,22%,1%
"Architecture, Planning & Preservation",14,3,0,0,17,18%,0%
Business,57,14,1,1,73,19%,1%
Engineering,84,40,2,0,126,32%,0%
International & Public Affairs,11,4,0,0,15,27%,0%
Journalism,15,1,1,0,17,6%,0%
Law,61,6,0,3,70,9%,4%
Social Work,13,5,0,0,18,28%,0%
MEDICAL CENTER GRADUATE SCHOOLS,245,32,1,0,278,12%,0%
College of Physicians & Surgeons - Basic Health Sciences,85,9,0,0,94,10%,0%
College of Physicians & Surgeons - Clinical Health Sciences,112,13,1,0,126,10%,0%
Dental Medicine,4,1,0,0,5,20%,0%
Nursing,5,0,0,0,5,0%,0%
Public Health,39,9,0,0,48,19%,0%
Subtotal Morningside Campus,596,145,7,12,760,19%,2%
Subtotal Medical Center Campus,245,32,1,0,278,12%,0%
UNIVERSITY TOTAL,841,177,8,12,"1,038",17%,1%
