Field,Non-Minority,Minority,Undisclosed,Non-Resident,Total,% Minority,% Non-Resident
MORNINGSIDE ARTS & SCIENCES,100,32,2,46,180,24%,26%
Arts,7,0,0,1,8,0%,13%
Continuing Education,0,0,0,0,0,-,-
Humanities,38,8,1,7,54,17%,13%
Natural Sciences,29,12,0,28,69,29%,41%
Social Sciences,26,12,1,10,49,31%,20%
MORNINGSIDE GRADUATE & PROFESSIONAL SCHOOLS,87,40,2,29,158,31%,18%
"Architecture, Planning & Preservation",8,5,0,2,15,38%,13%
Business,39,12,0,10,61,24%,16%
Engineering,11,11,1,15,38,48%,39%
International & Public Affairs,6,3,0,2,11,33%,18%
Journalism,6,2,1,0,9,22%,0%
Law,5,2,0,0,7,29%,0%
Social Work,12,5,0,0,17,29%,0%
MEDICAL CENTER GRADUATE SCHOOLS,151,72,7,14,244,31%,6%
College of Physicians & Surgeons - Basic Health Sciences,25,8,1,3,37,24%,8%
College of Physicians & Surgeons - Clinical Health Sciences,93,43,5,5,146,30%,3%
Dental Medicine,2,2,1,0,5,40%,0%
Nursing,5,2,0,0,7,29%,0%
Public Health,26,17,0,6,49,40%,12%
Subtotal Morningside Campus,187,72,4,75,338,27%,22%
Subtotal Medical Center Campus,151,72,7,14,244,31%,6%
UNIVERSITY TOTAL,338,144,11,89,582,29%,15%
